"NIS"	"Gemeente"	"Postcode"
45060	"KLUISBERGEN"	9690
45061	"WORTEGEM-PETEGEM"	9790
45062	"HOREBEKE"	9667
45063	"LIERDE"	9570
45064	"MAARKEDAL"	9680
45065	"ZWALM"	9630
46003	"BEVEREN"	9120
46013	"KRUIBEKE"	9150
46014	"LOKEREN"	9160
46020	"SINT-GILLIS-WAAS"	9170
46021	"SINT-NIKLAAS"	9100
46024	"STEKENE"	9190
46025	"TEMSE"	9140
71002	"AS"	3570
71004	"BERINGEN"	3580
71011	"DIEPENBEEK"	3590
71016	"GENK"	3600
71017	"GINGELOM"	3890
71020	"HALEN"	3545
71022	"HASSELT"	3500
71024	"HERK-DE-STAD"	3540
71034	"LEOPOLDSBURG"	3970
71037	"LUMMEN"	3560
71045	"NIEUWERKERKEN"	3850
71047	"OPGLABBEEK"	3660
71053	"SINT-TRUIDEN"	3800
71057	"TESSENDERLO"	3980
71066	"ZONHOVEN"	3520
71067	"ZUTENDAAL"	3690
71069	"HAM"	3945
71070	"HEUSDEN-ZOLDER"	3550
72003	"BOCHOLT"	3950
72004	"BREE"	3960
72018	"KINROOI"	3640
72020	"LOMMEL"	3920
72021	"MAASEIK"	3680
72025	"NEERPELT"	3910
72029	"OVERPELT"	3900
72030	"PEER"	3990
72037	"HAMONT-ACHEL"	3930
72038	"HECHTEL-EKSEL"	3940
72039	"HOUTHALEN-HELCHTEREN"	3530
72040	"MEEUWEN-GRUITRODE"	3670
72041	"DILSEN-STOKKEM"	3650
73001	"ALKEN"	3570
73006	"BILZEN"	3740
73009	"BORGLOON"	3840
73022	"HEERS"	3870
73028	"HERSTAPPE"	3717
73032	"HOESELT"	3730
73040	"KORTESSEM"	3720
73042	"LANAKEN"	3620
73066	"RIEMST"	3770
73083	"TONGEREN"	3700
73098	"WELLEN"	3830
73107	"MAASMECHELEN"	3630
73109	"VOEREN"	3790
