"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"34011"	"-"	"Gijzelbrechtegem"	"-"	"01.01.0001"	"25.01.1971"
"34012"	"-"	"Gullegem"	"-"	"01.01.0001"	"02.01.1977"
"34013"	"-"	"Harelbeke"	"-"	"01.01.0001"	"31.12.9999"
"34014"	"-"	"Heestert"	"-"	"01.01.0001"	"02.01.1977"
"34015"	"Helchin"	"Helkijn"	"-"	"01.01.0001"	"03.01.1977"
"34016"	"-"	"Heule"	"-"	"01.01.0001"	"02.01.1977"
"34017"	"-"	"Hulste"	"-"	"01.01.0001"	"02.01.1977"
"34018"	"-"	"Ingooigem"	"-"	"01.01.0001"	"03.01.1977"
"34019"	"-"	"Kaster"	"-"	"01.01.0001"	"03.01.1977"
"34020"	"-"	"Kerkhove"	"-"	"01.01.0001"	"03.01.1977"
"34021"	"-"	"Kooigem"	"-"	"01.01.0001"	"02.01.1977"
"34022"	"Courtrai"	"Kortrijk"	"Kortrijk"	"01.01.0001"	"31.12.9999"
"34023"	"-"	"Kuurne"	"-"	"01.01.0001"	"31.12.9999"
"34024"	"-"	"Lauwe"	"-"	"01.01.0001"	"02.01.1977"
"34025"	"-"	"Lendelede"	"-"	"01.01.0001"	"31.12.9999"
"34026"	"-"	"Marke"	"-"	"01.01.0001"	"02.01.1977"
"34027"	"Menin"	"Menen"	"Menen"	"01.01.0001"	"31.12.9999"
"34028"	"-"	"Moen"	"-"	"01.01.0001"	"02.01.1977"
"34029"	"-"	"Moorsele"	"-"	"01.01.0001"	"02.01.1977"
"34030"	"-"	"Otegem"	"-"	"01.01.0001"	"02.01.1977"
"34031"	"-"	"Outrijve"	"-"	"01.01.0001"	"03.01.1977"
"34032"	"-"	"Rekkem"	"-"	"01.01.0001"	"02.01.1977"
"34033"	"-"	"Rollegem"	"-"	"01.01.0001"	"02.01.1977"
"34034"	"-"	"Sint-Denijs"	"-"	"01.01.0001"	"02.01.1977"
"34035"	"-"	"Sint-Eloois-Vijve"	"-"	"01.01.0001"	"31.03.1977"
